poids_kg,volume_m3,valeur_marchandise,distance_km,mode_transport,type_marchandise,port_origine,destination,mois,type_conteneur,incoterm,volume_annuel_tonnes,cout_mad_kg,cout_mad_m3,cout_total,ratio_valeur_cout
32562.0,180.11,597933.07,2000,maritime,fragile,Tanger-Ville,Afrique_Ouest,12,40_hc,DDP,1000,0.64,115.722,20839.68,28.692046614919228
1392.44,3.52,8743.31,100,routier,dangereux,Casablanca,Europe_Nord,5,20_std,FCA,0,0.449,177.813,625.20556,13.984696489263467
732.7,2.3,3273.97,250,routier,general,Nador,Amerique_Sud,11,40_hc,EXW,5000,0.412,131.21,301.8724,10.845542686247565
4157.29,21.65,32057.04,2000,maritime,general,Agadir,Asie,8,palette,DAT,0,0.602,115.623,2502.68858,12.80904074769063
10628.96,40.67,71258.51,50,routier,general,Tanger-Med,Amerique_Nord,5,20_reefer,FCA,0,0.272,70.994,2891.07712,24.647737518672624
307.51,1.3,2990.87,2500,routier,general,Tanger-Med,Europe_Sud,3,20_std,DAT,500,1.745,412.061,536.60495,5.573690663867338
3083.59,12.92,24525.41,50,routier,general,Nador,Asie,3,palette,FOB,0,0.399,95.105,1230.3524100000002,19.933646490764378
3907.08,11.95,15822.44,1200,routier,general,Tanger-Med,Asie,6,20_reefer,EXW,0,1.428,466.941,5579.31024,2.8359132794881114
75871.56,213.31,426456.99,2000,maritime,perissable,Tanger-Med,Europe_Nord,11,palette,FCA,100,0.552,196.47,41881.10112,10.182563939235799
726.63,3.56,3166.36,2500,routier,general,Agadir,Europe_Nord,7,40_hc,EXW,0,2.899,592.385,2106.50037,1.503137642458615
4361.35,10.58,138523.75,11000,maritime,perissable,Tanger-Ville,Europe_Sud,11,vrac,FOB,1000,1.479,609.511,6450.436650000001,21.475096573500956
52949.79,130.08,1659065.83,7000,maritime,perissable,Casablanca,Asie,7,40_std,FOB,0,2.055,836.386,108811.81845,15.247110595457565
5243.64,16.39,127267.32,1200,routier,dangereux,Mohammedia,Europe_Sud,3,40_std,FOB,500,1.686,539.452,8840.77704,14.395490285998662
3946.12,12.96,86426.16,500,maritime,dangereux,Mohammedia,Europe_Nord,2,20_std,FOB,5000,0.372,113.238,1467.9566399999999,58.8751449770342
1885.01,6.97,23986.88,3000,routier,general,Casablanca,Europe_Nord,5,palette,DDP,1000,2.756,745.499,5195.08756,4.6172234294353265
209.23,1.05,9590.04,2000,routier,fragile,Tanger-Med,Amerique_Sud,3,40_std,FOB,0,2.078,412.863,434.77993999999995,22.057227387261708
10730.16,14.81,151024.7,10000,aerien,vrac,Casablanca,Europe_Nord,7,palette,EXW,500,25.676,18607.614,275507.58816,0.548168930694907
457.31,1.51,2994.03,6000,aerien,general,Casablanca,Europe_Sud,11,40_std,FOB,0,17.825,5397.592,8151.550749999999,0.3672957565773605
19331.49,87.72,321141.89,3000,aerien,general,Tanger-Med,Afrique_Ouest,11,palette,CIF,5000,11.394,2511.186,220262.99706000002,1.457992918858361
14712.77,67.84,1355243.08,2000,routier,fragile,Tanger-Med,Europe_Sud,3,palette,EXW,5000,1.502,325.671,22098.58054,61.32715526895105
4871.43,4.93,11715.34,250,routier,vrac,Tanger-Med,Europe_Sud,8,20_std,DAT,0,0.673,664.891,3278.4723900000004,3.5734142632203163
109576.48,470.2,384246.24,5000,maritime,general,Tanger-Med,Europe_Sud,7,20_reefer,DDP,500,1.215,283.171,133135.4232,2.886130758924872
4409.92,27.81,23605.34,100,routier,general,Agadir,Europe_Nord,11,20_std,EXW,0,0.403,63.816,1777.1977600000002,13.282337245349666
5547.65,30.17,1124860.46,2500,routier,fragile,Casablanca,Europe_Nord,8,20_std,EXW,0,2.694,495.338,14945.369099999998,75.26481631022416
344.35,1.33,5040.87,100,routier,general,Tanger-Med,Asie,12,20_std,DAT,0,0.506,131.375,174.24110000000002,28.93043030605293
14760.65,15.37,53718.66,250,routier,vrac,Tanger-Med,Europe_Sud,12,20_std,DDP,0,0.753,723.222,11114.76945,4.833088103325436
84.97,0.38,2202.61,5000,aerien,general,Casablanca,Asie,1,40_std,CIF,0,18.814,4213.188,1598.62558,1.3778148101445995
278.52,1.04,20212.79,1500,routier,fragile,Casablanca,Europe_Sud,12,40_std,FOB,5000,1.515,407.454,421.95779999999996,47.90239687475857
174274.87,941.73,813281.22,5000,maritime,general,Tanger-Med,Europe_Nord,7,40_std,FCA,100,0.834,154.257,145345.24158,5.595513215011988
1740.07,6.74,7529.41,250,routier,general,Nador,Afrique_Ouest,4,20_std,EXW,0,0.533,137.643,927.45731,8.11833592642663
2366.09,3.11,16773.52,500,maritime,vrac,Casablanca,Europe_Nord,9,20_std,FCA,0,0.24,183.077,567.8616000000001,29.538042368069963
106150.52,334.49,553255.12,9000,maritime,general,Casablanca,Moyen_Orient,4,20_reefer,EXW,500,1.239,393.293,131520.49428,4.206607669996661
10081.87,57.18,90023.05,3000,routier,general,Tanger-Med,Amerique_Nord,4,40_std,FCA,0,2.824,497.991,28471.20088,3.1618985928773373
11030.58,50.83,3886631.97,8000,aerien,fragile,Mohammedia,Asie,3,20_std,FOB,0,26.889,5835.675,296601.26561999996,13.103895433067642
25632.3,107.79,151729.62,3000,maritime,general,Tanger-Med,Amerique_Nord,1,40_std,DAT,1000,0.469,111.49,12021.5487,12.621470310227167
112.36,0.34,2853.35,10000,aerien,general,Tanger-Med,Europe_Nord,3,palette,FOB,5000,18.354,5991.637,2062.25544,1.3836064847524416
256.44,1.23,4841.58,3000,aerien,general,Casablanca,Europe_Sud,10,palette,DDP,100,12.67,2642.66,3249.0948,1.4901319592152251
178190.72,411.31,5154292.65,5000,maritime,dangereux,Casablanca,Europe_Sud,5,40_std,FCA,1000,1.123,486.432,200108.17856,25.757531186835266
15238.97,91.54,862559.3,4000,aerien,fragile,Casablanca,Amerique_Nord,12,palette,FOB,0,16.468,2741.405,250955.35796,3.4371025468899696
6763.52,32.59,176805.17,500,routier,fragile,Casablanca,Amerique_Nord,10,40_std,CIF,0,0.684,142.014,4626.24768,38.21783489119199
17291.07,53.34,449180.35,1500,routier,perissable,Tanger-Med,Moyen_Orient,1,20_std,DAT,10000,1.505,487.924,26023.060349999996,17.260858022027378
16313.32,70.7,74260.67,800,routier,general,Mohammedia,Afrique_Ouest,2,40_std,EXW,0,0.824,190.199,13442.175679999998,5.524453166498119
306.46,2.03,6280.67,500,routier,general,Agadir,Asie,1,palette,CIF,5000,0.65,97.836,199.19899999999998,31.529626152741734
477.32,2.2,20400.05,250,routier,fragile,Tanger-Med,Europe_Sud,8,20_std,FOB,0,0.584,126.522,278.75487999999996,73.18275468397182
542.1,3.46,23556.2,50,routier,fragile,Tanger-Med,Europe_Nord,9,20_std,CIF,0,0.408,63.881,221.1768,106.50393712179579
4470.56,7.2,35516.7,5000,aerien,vrac,Tanger-Med,Europe_Sud,7,20_std,FOB,0,15.871,9860.969,70952.25776000001,0.500571808724357
3206.06,5.82,7189.95,250,routier,vrac,Tanger-Med,Amerique_Nord,1,20_reefer,EXW,100,0.358,197.257,1147.76948,6.264280524343617
6232.79,31.61,25337.91,100,routier,general,Casablanca,Europe_Sud,4,palette,FOB,0,0.388,76.56,2418.32252,10.477473451307892
233574.23,606.63,6233853.74,7000,maritime,perissable,Tanger-Med,Europe_Nord,8,palette,EXW,0,1.809,696.497,422535.78207,14.753433920934203
1802.28,4.13,16967.29,1200,routier,dangereux,Tanger-Med,Amerique_Nord,9,20_std,EXW,0,1.773,773.304,3195.44244,5.309840599100261
19698.56,69.56,124782.0,8000,aerien,general,Tanger-Ville,Europe_Sud,4,40_hc,FOB,1000,16.362,4633.564,322307.83872,0.387151614107662
8457.69,42.58,60891.94,800,routier,general,Tanger-Med,Asie,2,40_std,FOB,0,1.088,216.083,9201.96672,6.617274529764872
236.42,1.13,7421.63,10000,aerien,fragile,Agadir,Amerique_Sud,2,20_std,FOB,500,26.788,5587.75,6333.21896,1.1718574783019977
2108.07,6.87,34674.48,11000,maritime,perissable,Casablanca,Europe_Sud,4,40_hc,FCA,0,2.958,907.816,6235.671060000001,5.560665350426615
2316.49,5.56,37739.6,1500,routier,perissable,Agadir,Moyen_Orient,8,20_std,CIF,0,2.612,1088.569,6050.67188,6.23725773740023
2012.38,5.3,22584.78,800,routier,perissable,Jorf Lasfar,Amerique_Nord,6,20_std,FCA,0,1.361,516.989,2738.84918,8.24608385336501
20165.56,116.07,1409239.07,3000,aerien,fragile,Tanger-Med,Europe_Sud,10,palette,EXW,10000,10.097,1754.244,203611.65932,6.921210085446103
3628.89,12.02,14237.22,12000,maritime,general,Tanger-Med,Europe_Nord,8,40_hc,FOB,0,2.624,792.392,9522.20736,1.495159626517522
1781.09,4.04,16461.88,2000,maritime,dangereux,Mohammedia,Moyen_Orient,11,20_std,FOB,0,0.594,261.729,1057.9674599999998,15.559911455121695
81025.98,320.38,1091169.41,2000,maritime,perissable,Tanger-Med,Afrique_Ouest,2,40_hc,EXW,500,0.465,117.655,37677.0807,28.96109225362569
1112.94,8.36,39476.64,500,routier,fragile,Agadir,Europe_Sud,3,20_std,DAT,0,0.803,106.889,893.6908200000001,44.17259203803838
1464.61,5.73,21037.11,100,routier,perissable,Tanger-Med,Afrique_Ouest,10,40_std,FOB,0,0.581,148.421,850.9384099999999,24.722247524353737
1556.13,1.46,4164.93,3000,routier,vrac,Tanger-Med,Amerique_Nord,6,20_std,FCA,0,3.079,3275.876,4791.324270000001,0.8692648974059106
389.41,1.95,4085.32,5000,aerien,general,Tanger-Med,Europe_Sud,10,20_reefer,CIF,0,14.531,2894.957,5658.516710000001,0.7219771910861777
202150.47,183.74,314276.62,5000,maritime,vrac,Casablanca,Asie,1,20_std,FOB,100,0.906,996.608,183148.32582,1.715967746868045
1398.27,8.89,68386.4,1200,routier,fragile,Jorf Lasfar,Europe_Nord,6,20_std,FCA,0,1.52,239.095,2125.3704,32.17622678851649
1747.2,6.52,41735.97,500,routier,perissable,Casablanca,Europe_Nord,11,vrac,FOB,0,1.252,335.435,2187.4944,19.079349414563072
376.94,1.28,2937.88,50,routier,general,Casablanca,Europe_Nord,6,20_std,EXW,100,0.285,83.831,107.4279,27.347458155656028
6541.99,22.08,27389.81,800,routier,general,Casablanca,Amerique_Nord,12,40_hc,CIF,1000,0.767,227.2,5017.70633,5.458631533743028
231581.29,1042.07,4691414.37,7000,maritime,fragile,Nador,Asie,1,20_std,FOB,0,1.31,291.18,303371.48990000004,15.464255957428383
2721.74,6.85,48768.83,3000,maritime,perissable,Casablanca,Amerique_Nord,3,vrac,FOB,0,0.811,322.209,2207.33114,22.094025276153175
751.5,2.56,19572.32,8000,aerien,perissable,Tanger-Med,Europe_Sud,1,40_std,FOB,500,19.399,5701.127,14578.3485,1.342560853172086
8874.92,19.02,54457.35,250,routier,dangereux,Tanger-Ville,Asie,6,40_hc,FCA,0,0.907,423.325,8049.55244,6.7652643306464375
3907.02,18.64,146652.68,250,routier,fragile,Casablanca,Europe_Sud,9,20_std,FCA,1000,0.38,79.664,1484.6676,98.77812380360425
1356.08,5.85,5932.01,2000,maritime,general,Casablanca,Moyen_Orient,6,palette,DAT,0,0.456,105.673,618.37248,9.592939841048555
155331.53,609.79,1600124.19,3000,maritime,general,Casablanca,Europe_Nord,12,40_hc,CIF,0,0.562,143.257,87296.31986,18.329801216891756
1853.11,6.12,20585.25,9000,maritime,general,Tanger-Med,Europe_Sud,12,20_std,CIF,0,1.191,361.0,2207.05401,9.32702593898008
236705.91,878.01,918251.76,9000,maritime,general,Casablanca,Amerique_Nord,12,40_std,CIF,0,1.633,440.369,386540.75103,2.375562621930988
385.73,1.94,3256.34,500,routier,perissable,Tanger-Med,Amerique_Nord,11,palette,DDP,1000,0.99,197.042,381.8727,8.527291948337758
196811.52,835.19,8209767.29,5000,maritime,fragile,Nador,Europe_Sud,6,20_reefer,DAT,0,1.15,270.96,226333.24799999996,36.27291775532688
345.0,1.19,6727.38,1200,routier,general,Agadir,Europe_Sud,2,palette,EXW,0,1.206,350.658,416.07,16.168865815848296
686.27,2.97,7889.22,250,routier,general,Tanger-Med,Moyen_Orient,1,palette,FOB,1000,0.329,76.121,225.78283,34.94162952957938
9305.81,25.98,164553.93,250,routier,perissable,Nador,Europe_Nord,4,20_std,EXW,0,0.626,224.334,5825.437059999999,28.247482258438477
1416.64,1.73,2736.19,3000,routier,vrac,Casablanca,Europe_Sud,11,40_hc,FOB,0,2.825,2310.763,4002.0080000000007,0.6837042804512133
212447.73,1406.69,854601.42,5000,maritime,general,Tanger-Med,Amerique_Nord,9,20_std,FCA,0,0.865,130.593,183767.28645,4.6504545858466635
566.12,0.77,2050.1,3000,routier,vrac,Casablanca,Europe_Sud,1,20_std,CIF,100,2.308,1697.76,1306.60496,1.5690281781878435
10670.83,46.02,125073.44,3000,maritime,general,Tanger-Med,Europe_Sud,7,20_std,FCA,0,0.767,177.765,8184.52661,15.281695076558618
100.5,0.42,854.02,6000,aerien,general,Tanger-Med,Europe_Sud,3,vrac,FCA,0,11.75,2844.178,1180.875,0.7232094844924315
1256.5,7.02,34156.38,250,routier,fragile,Casablanca,Asie,9,20_std,EXW,0,0.715,127.949,898.3974999999999,38.01922868218133
2301.03,5.8,25559.22,250,routier,perissable,Agadir,Europe_Sud,2,40_hc,FOB,0,0.671,265.937,1543.9911300000003,16.55399406342444
243220.53,1450.89,8147269.64,5000,maritime,fragile,Casablanca,Amerique_Nord,2,40_hc,CIF,0,1.164,195.098,283108.69691999996,28.77788541516346
3340.67,14.13,22499.48,500,routier,fragile,Tanger-Med,Europe_Sud,7,20_reefer,FOB,10000,0.869,205.319,2903.04223,7.750310955690093
268.21,0.96,2288.67,250,routier,general,Tanger-Med,Amerique_Nord,8,40_hc,DDP,0,0.728,204.304,195.25687999999997,11.721328334243589
1770.75,3.48,36443.47,250,routier,dangereux,Tanger-Med,Amerique_Nord,1,palette,CIF,0,0.627,319.0,1110.26025,32.824258996933374
894.32,1.66,3951.89,50,routier,dangereux,Casablanca,Europe_Nord,9,palette,EXW,5000,0.394,212.07,352.36208000000005,11.215423634688499
731.12,2.71,43458.41,6000,aerien,fragile,Tanger-Med,Europe_Nord,7,20_std,FOB,100,26.12,7042.291,19096.8544,2.2756842090182143
21631.57,81.02,2522318.05,4000,aerien,perissable,Casablanca,Amerique_Sud,3,palette,FOB,100,15.435,4121.226,333883.28295,7.554490382729716
202456.5,757.67,1543409.94,1000,maritime,general,Agadir,Asie,7,20_std,FCA,1000,0.398,106.229,80577.687,19.15430930649573
61.68,0.21,3270.49,2000,aerien,perissable,Casablanca,Europe_Sud,12,40_hc,DDP,0,14.039,4208.198,865.92552,3.7768721725628316
6500.91,4.91,23207.12,1000,aerien,vrac,Casablanca,Amerique_Nord,12,20_std,FOB,0,7.633,10113.064,49621.44603,0.4676832671496413
830.4,2.96,6703.62,800,routier,general,Tanger-Med,Afrique_Ouest,6,palette,CIF,500,1.002,281.278,832.0608,8.05664682196301
248.88,0.78,4113.07,1000,aerien,general,Tanger-Med,Europe_Sud,8,20_reefer,FOB,0,6.961,2233.305,1732.45368,2.374129852637676
4404.69,16.21,26849.38,9000,maritime,general,Casablanca,Moyen_Orient,8,40_std,FCA,0,1.741,473.084,7668.56529,3.501225977043224
393.67,4.16,36421.38,500,aerien,fragile,Casablanca,Asie,1,palette,EXW,0,7.785,736.33,3064.7209500000004,11.884077080492432
9803.57,46.5,181013.9,2000,aerien,general,Casablanca,Europe_Nord,4,20_std,DAT,0,9.572,2017.902,93839.77204,1.9289678146579607
755.24,3.5,2750.41,2000,routier,general,Tanger-Med,Europe_Nord,2,40_hc,EXW,0,1.552,334.735,1172.13248,2.346500968900717
418.01,1.13,10663.85,1200,routier,dangereux,Nador,Europe_Sud,8,20_std,DDP,100,2.022,745.819,845.2162199999999,12.616712443118994
1081.04,4.03,9061.43,100,routier,general,Casablanca,Europe_Sud,8,20_std,FOB,0,0.523,140.149,565.38392,16.02703875978645
6518.8,23.7,41073.05,1500,routier,general,Casablanca,Amerique_Nord,3,40_std,CIF,0,1.167,320.974,7607.439600000001,5.399063569298664
24621.71,148.25,629724.5,4000,aerien,perissable,Casablanca,Europe_Sud,4,20_reefer,FOB,1000,12.414,2061.77,305653.90794,2.060253389999565
4380.54,18.39,110706.19,8000,aerien,general,Nador,Europe_Sud,1,palette,FOB,10000,16.74,3986.793,73330.23959999999,1.5096935534900395
7273.97,32.23,71305.46,800,routier,general,Tanger-Med,Moyen_Orient,4,40_std,FOB,0,0.972,219.322,7070.29884,10.085211617448408
108867.63,341.22,911813.78,7000,maritime,general,Tanger-Ville,Europe_Sud,5,40_hc,EXW,0,1.141,364.082,124217.96583,7.340434001695646
3085.52,11.04,15059.53,3000,routier,general,Tanger-Med,Asie,12,20_reefer,DDP,0,4.338,1212.836,13384.98576,1.1251061652231449
2468.52,12.81,81998.92,250,routier,fragile,Nador,Amerique_Nord,8,palette,FCA,5000,0.54,104.028,1333.0008,61.51453172421201
1849.29,5.06,26757.33,800,routier,perissable,Mohammedia,Europe_Nord,4,vrac,CIF,0,1.17,427.743,2163.6693,12.366644939686486
647.66,2.79,27379.88,500,routier,perissable,Casablanca,Asie,12,20_reefer,CIF,0,1.324,307.107,857.50184,31.929820698693778
12040.89,42.54,122355.98,500,aerien,general,Tanger-Med,Europe_Sud,5,20_std,EXW,0,3.997,1131.467,48127.43732999999,2.5423331635347646
7446.1,32.34,116994.57,50,routier,general,Tanger-Med,Asie,3,20_std,CIF,1000,0.282,64.811,2099.8001999999997,55.71700107467369
1031.73,6.15,5652.01,1000,maritime,fragile,Casablanca,Afrique_Ouest,3,palette,DDP,0,0.562,94.306,579.83226,9.747663919216913
209957.94,665.03,5996303.6,5000,maritime,general,Tanger-Med,Europe_Sud,5,20_std,EXW,500,0.635,200.399,133323.2919,44.97566415099895
515.66,1.96,7295.6,800,routier,general,Nador,Europe_Sud,2,20_std,FCA,0,0.881,232.206,454.29645999999997,16.059116991578584
24478.43,141.18,702935.59,5000,aerien,fragile,Tanger-Ville,Europe_Sud,1,vrac,CIF,0,17.775,3081.805,435104.09325,1.6155572905541724
2865.87,16.3,278191.35,500,aerien,fragile,Nador,Afrique_Ouest,5,40_std,FCA,100,7.7,1353.861,22067.199,12.606554642480905
546.72,2.55,10039.5,500,routier,fragile,Mohammedia,Asie,10,40_std,EXW,0,0.874,187.506,477.83328,21.01046624462825
4113.06,9.72,58482.07,2500,routier,dangereux,Tanger-Med,Europe_Nord,1,20_std,FOB,10000,3.284,1389.168,13507.28904,4.329667472637426
887.92,3.53,4888.59,500,routier,general,Casablanca,Europe_Nord,5,palette,FOB,5000,0.481,120.833,427.08952,11.446288824881492
6938.98,11.42,22838.85,800,routier,vrac,Tanger-Med,Europe_Nord,4,40_std,CIF,0,0.818,497.143,5676.085639999999,4.02369721821181
1146.44,1.82,3713.04,1500,routier,vrac,Tanger-Med,Europe_Nord,10,40_std,DAT,5000,1.245,785.784,1427.3178000000003,2.60141084207035
206916.6,973.34,1555382.28,9000,maritime,general,Casablanca,Europe_Nord,11,palette,DAT,10000,1.173,249.418,242713.1718,6.408314260264634
112832.51,587.2,3505736.1,5000,maritime,fragile,Agadir,Europe_Sud,8,palette,CIF,500,1.089,209.257,122874.60338999999,28.531006434852188
819.33,2.36,12584.7,2000,routier,perissable,Tanger-Med,Europe_Sud,2,20_reefer,FOB,0,1.811,628.596,1483.80663,8.48136121348912
2236.63,5.78,67072.42,500,routier,dangereux,Agadir,Asie,7,40_std,DDP,0,1.572,608.697,3515.9823600000004,19.07643814231195
17695.5,72.44,110299.6,10000,aerien,general,Casablanca,Europe_Sud,8,20_std,EXW,10000,23.123,5648.654,409173.0465,0.269567120668101
1958.45,4.07,47335.84,250,routier,perissable,Tanger-Ville,Europe_Nord,5,40_std,FOB,500,0.605,291.445,1184.86225,39.95050057506685
1947.2,6.66,7896.84,250,routier,general,Casablanca,Europe_Sud,3,40_hc,CIF,1000,0.405,118.469,788.6160000000001,10.013542712803188
4657.34,10.75,93858.24,100,routier,perissable,Tanger-Med,Europe_Nord,6,40_hc,DAT,0,0.715,309.622,3329.9981,28.18567373957361
65.48,0.24,435.84,8000,aerien,general,Casablanca,Europe_Sud,1,20_reefer,EXW,5000,15.109,4128.047,989.3373200000001,0.440537308346965
1899.41,5.35,21655.99,500,routier,perissable,Tanger-Med,Europe_Nord,3,20_std,DDP,5000,0.835,296.507,1586.00735,13.654407087079388
91746.14,211.98,2671988.7,2000,maritime,dangereux,Casablanca,Europe_Nord,9,40_hc,FCA,1000,0.597,258.168,54772.44558,48.7834470728046
85379.41,408.45,2696530.25,2000,maritime,fragile,Casablanca,Asie,11,palette,DDP,0,0.994,207.738,84867.13354000001,31.77355163915201
7699.5,26.51,82574.43,2500,routier,general,Nador,Europe_Sud,10,20_std,CIF,0,2.343,680.269,18039.928499999998,4.577314704988992
249349.41,1548.81,3155949.53,9000,maritime,fragile,Nador,Europe_Sud,5,40_hc,FCA,0,1.564,251.819,389982.47724000004,8.09254188120301
1178.68,4.12,6390.01,800,routier,general,Agadir,Asie,6,40_hc,FCA,0,1.514,433.328,1784.52152,3.580797389319239
72048.23,348.59,1697773.48,5000,maritime,fragile,Tanger-Med,Europe_Nord,9,vrac,DDP,0,1.329,274.713,95752.09766999999,17.730927272749742
2011.54,9.0,44468.85,3000,maritime,perissable,Tanger-Med,Afrique_Ouest,11,20_std,EXW,1000,0.74,165.355,1488.5396,29.874146445280996
11685.47,57.44,592142.11,3000,maritime,fragile,Casablanca,Moyen_Orient,2,20_reefer,DDP,0,0.817,166.278,9547.028989999999,62.02370503119212
2513.46,8.51,37013.9,2500,routier,dangereux,Tanger-Med,Afrique_Ouest,7,40_hc,EXW,0,3.951,1167.614,9930.68046,3.7272269658750052
1486.15,4.75,32444.87,1000,aerien,perissable,Casablanca,Europe_Sud,6,40_std,FCA,100,8.602,2688.5,12783.8623,2.5379552156158627
1451.7,6.0,9216.04,500,routier,general,Casablanca,Europe_Sud,11,20_std,DDP,0,0.759,183.794,1101.8403,8.36422483367145
984.7,1.76,3225.41,500,routier,vrac,Tanger-Med,Asie,12,40_std,FCA,10000,0.708,395.412,697.1676,4.626448503917852
280.26,1.42,6000.34,500,routier,fragile,Casablanca,Europe_Nord,9,palette,EXW,0,0.852,168.503,238.78152,25.128996582315082
193896.82,765.11,1891938.39,3000,maritime,general,Tanger-Med,Europe_Sud,11,40_hc,CIF,1000,0.439,111.283,85120.70398,22.226535984060124
132007.56,458.75,1489668.71,5000,maritime,general,Casablanca,Europe_Sud,1,20_std,EXW,0,0.97,279.035,128047.3332,11.633734750830406
1321.57,7.27,48163.54,100,routier,fragile,Tanger-Med,Amerique_Nord,4,vrac,EXW,10000,0.27,49.136,356.8239,134.97845856177236
3689.3,4.37,8278.14,5000,maritime,vrac,Tanger-Med,Afrique_Ouest,11,20_reefer,FOB,1000,0.776,655.059,2862.8968000000004,2.891525813993714
3793.74,15.47,24940.81,250,routier,general,Tanger-Med,Amerique_Nord,3,20_std,FOB,5000,0.403,98.77,1528.87722,16.31315430286809
214373.51,292.43,351431.2,2000,maritime,vrac,Casablanca,Amerique_Nord,1,20_reefer,FCA,0,0.468,342.847,100326.80268000001,3.5028645447908535
5822.77,34.98,47619.14,100,routier,general,Casablanca,Asie,4,palette,CIF,0,0.386,64.301,2247.5892200000003,21.186762944164677
3243.12,4.15,11310.37,9000,maritime,vrac,Casablanca,Asie,10,palette,DAT,5000,1.455,1137.759,4718.7396,2.39690488536388
379.51,1.65,43997.81,500,routier,fragile,Agadir,Afrique_Ouest,6,20_reefer,DAT,0,1.013,232.68,384.4436299999999,114.44541297250784
10385.27,51.08,274220.4,5000,aerien,general,Casablanca,Europe_Sud,1,20_std,FCA,500,15.415,3134.073,160088.93705,1.7129253591980171
8163.8,34.14,37004.89,1200,routier,general,Tanger-Med,Moyen_Orient,9,palette,FOB,0,1.015,242.77,8286.257,4.4658149029169625
2143.63,5.44,22122.71,1200,routier,dangereux,Tanger-Med,Europe_Sud,5,palette,DDP,5000,1.43,564.069,3065.3909,7.216929495027861
455.5,1.07,13476.35,500,routier,perissable,Casablanca,Europe_Sud,3,40_std,FCA,100,0.637,272.301,290.1535,46.44558828344307
475.07,0.59,2426.54,3000,aerien,vrac,Tanger-Med,Amerique_Nord,9,20_reefer,CIF,0,10.016,8060.986,4758.30112,0.5099593192622496
11.77,0.06,1194.72,3000,aerien,fragile,Tanger-Med,Europe_Sud,10,40_std,FOB,0,13.155,2782.5,154.83435,7.716117256926515
676.72,1.94,9800.28,800,routier,perissable,Casablanca,Europe_Sud,12,40_hc,EXW,0,1.207,421.586,816.8010400000001,11.998368660255379
176322.32,244.47,429570.95,3000,maritime,vrac,Tanger-Med,Moyen_Orient,11,40_hc,DAT,0,0.544,391.992,95919.34208000002,4.478460138328755
492.6,1.82,5533.69,8000,aerien,perissable,Casablanca,Europe_Sud,1,40_std,FOB,500,27.358,7402.812,13476.5508,0.4106161941674274
127690.98,677.06,1156742.96,11000,maritime,fragile,Casablanca,Moyen_Orient,2,40_std,FCA,100,1.545,291.436,197282.5641,5.8633816185279395
